"","Brand_Description","Price","Review_Count","Rating"
"36"," VersaceEros/Versace EDT Splash Mini 0.17 oz (5.0 ml) (w)  Lemon,Orange,Raspberry1 Count (Pack of 1)4.1 out of 5 stars 100  100+ bought in past month$9.60$9.60 ($56.47$56.47/Fl Oz) List: $20.00$20.00 FREE delivery Sat, Mar 2 on $35 of items shipped by AmazonOr fastest delivery Thu, Feb 29 More Buying Choices$7.00(9 new offers)","9.","Lemon,Orange,Raspberry","4.1 out of 5 stars"
"37"," VersaceVersace Eros After Shave for Men 3.4 Ounce / 100 Ml, 3.4 Fl Ounce  3.4 Fl Oz (Pack of 1)4.3 out of 5 stars 129  $44.54$44.54 ($13.10$13.10/Fl Oz) FREE delivery Fri, Mar 8 ","44.","3.4 Fl Oz (Pack of 1)","4.3 out of 5 stars"
"38"," VersaceEROS FLAME 3 PIECE GIFT SET - 3.4 OZ EAU DE PARFUM SPRAY NEW  Fresh3 Piece Set3.8 out of 5 stars 4  $98.95$98.95 ($98.95$98.95/Count) Typical: $105.90$105.90FREE delivery Mar 11 - 12 Only 3 left in stock - order soon.","98.","Fresh","3.8 out of 5 stars"
"39"," VersaceEROS by VERSACE  EROS3 Piece Set4.4 out of 5 stars 18  No featured offers available$150.98(5 new offers)","","EROS","4.4 out of 5 stars"
"40"," VersaceMiniature Variety Trio Collection Perfume Gift Set for Men 0.17 oz/5 ml Splashes 1  0.17 Fl Oz (Pack of 3)4.3 out of 5 stars 78  400+ bought in past month$39.68$39.68 ($77.80$77.80/Fl Oz) Typical: $44.45$44.45FREE delivery Mar 4 - 5 ","39.","0.17 Fl Oz (Pack of 3)","4.3 out of 5 stars"
"41"," VersaceEros Flame for Men Perfumed Deodorant Stick, 2.5 Ounce  Flame2.5 Ounce (Pack of 1)4.3 out of 5 stars 198  50+ bought in past month$28.33$28.33 ($11.33$11.33/Ounce) List: $32.00$32.00 FREE delivery Fri, Mar 8 on $35 of items shipped by AmazonOnly 9 left in stock - order soon.More Buying Choices$27.00(8 new offers)","28.","Flame","4.3 out of 5 stars"
"42"," VersaceEros Eau De Toilette Spray 50ml/1.7oz  1.7 Ounce5.0 out of 5 stars 4  $58.45$58.45 ($34.38$34.38/Fl Oz)FREE delivery Mar 1 - 5 Or fastest delivery Mon, Mar 4 Only 19 left in stock - order soon.","58.","1.7 Ounce","5.0 out of 5 stars"
"43"," VersaceEROS 3 PIECE GIFT SET - 3.4 OZ EAU DE PARFUM SPRAY NEW Box  Pineapple 3 Piece Set5.0 out of 5 stars 1  $105.00$105.00 ($105.00$105.00/Count) Typical: $109.99$109.99FREE delivery Fri, Mar 1 Only 18 left in stock - order soon.","105.","Pineapple ","5.0 out of 5 stars"
"44"," VersaceEros Flame Eau de Parfum and Shower Gel 2 Piece Set for Men  Lemon,Vanilla2 Piece Set4.6 out of 5 stars 104  No featured offers available$118.99(3 new offers)","","Lemon,Vanilla","4.6 out of 5 stars"
"45"," VersaceEros Pour Femme EDP Spray Sample Vial 1 Ml/0.03 Oz for Women  3.8 out of 5 stars 14  $6.99$6.99 ($233.00$233.00/Ounce)FREE delivery Feb 29 - Mar 4 Or fastest delivery Thu, Feb 29 ","6.","14","3.8 out of 5 stars"
"46"," Versacefor Men Fragrance Sample Trio - Pour Homme, Man Eau Fraiche, & Eros  0.03 Fl Oz (Pack of 3)4.1 out of 5 stars 893  300+ bought in past month$12.95$12.95 ($130.81$130.81/Fl Oz) Typical: $15.90$15.90FREE delivery Mar 11 - 12 Only 13 left in stock - order soon.","12.","0.03 Fl Oz (Pack of 3)","4.1 out of 5 stars"
"47"," Lion Versatile Cologne for Men (3.4oz/100ml x 5pcs), Impression of Eros, Red Flame, Dylan Blue, Pour Homme & Oud Noir, Edt, (Pack of 5)  Versatile3.4 Fl Oz (Pack of 5)2.7 out of 5 stars 11  300+ bought in past month$49.99$49.99 ($2.94$2.94/Fl Oz)$4.99 delivery Mar 5 - 7 Or fastest delivery Mar 4 - 6 ","49.","Versatile","2.7 out of 5 stars"
"48"," Eros for Man | 6.7 Oz EDP Spray Gift Set with Lavender Soy Candle (5 ml), Car Air Fresheners, and Empty Travel Perfume Atomizer perfect kit for man  Lemon,Mint6.7 Fl Oz (Pack of 1)Options:3 sizes$109.99$109.99 ($16.42$16.42/Fl Oz)FREE delivery Mar 1 - 5 Or fastest delivery Wed, Feb 28 Only 6 left in stock - order soon.Small Business  Small BusinessShop products from small business brands sold in Amazon’s store. Discover more about the small businesses partnering with Amazon and Amazon’s commitment to empowering them. Learn more ","109.","Lemon,Mint",""
